"","species","decimalLongitude","decimalLatitude"
"228","Pinus halepensis",-1.091,37.621
"229","Pinus halepensis",-1.501,38.087
"230","Pinus halepensis",-1.159,37.604
"231","Pinus halepensis",-1.33,38.7
"232","Pinus halepensis",-1.489,38.087
"233","Pinus halepensis",-1.394,38.266
"234","Pinus halepensis",3.36944,48.30556
"235","Pinus halepensis",-4.75,37.35
"236","Pinus halepensis",-5.12,38.6
"237","Pinus halepensis",2.73,42.12
"238","Pinus halepensis",2.76,42.15
"239","Pinus halepensis",-4.352,36.881
"240","Pinus halepensis",-5.273,36.524
"241","Pinus halepensis",-4.976,36.719
"242","Pinus halepensis",-4.672,36.643
"243","Pinus halepensis",-4.64,36.706
"244","Pinus halepensis",-5.187,36.634
"245","Pinus halepensis",-4.521,36.888
"246","Pinus halepensis",-4.016,36.92
"247","Pinus halepensis",-4.908,36.693
"248","Pinus halepensis",-4.908,36.693
"249","Pinus halepensis",-4.78976,36.9223
"250","Pinus halepensis",-4.36125,36.745
"251","Pinus halepensis",-4.96,36.71
"252","Pinus halepensis",2.1,41.41
"253","Pinus halepensis",-4.36125,36.745
"254","Pinus halepensis",-4.61891,36.63275
"255","Pinus halepensis",-4.36125,36.745
"256","Pinus halepensis",-4.62,36.63
"257","Pinus halepensis",-2.04,37.09
"258","Pinus halepensis",-3.84405,36.76192
"259","Pinus halepensis",-3.85028,36.76733
"260","Pinus halepensis",-4.3,37.26
"261","Pinus halepensis",-4.19,37.54
"262","Pinus halepensis",-4.19,37.45
"263","Pinus halepensis",-5.21,37.52
"264","Pinus halepensis",-4.52,37.26
"265","Pinus halepensis",-5.2,37.34
"266","Pinus halepensis",-4.19,37.54
"267","Pinus halepensis",-4.41,37.26
"268","Pinus halepensis",-4.19,37.36
"269","Pinus halepensis",-4.19,37.45
"270","Pinus halepensis",-4.3,37.35
"271","Pinus halepensis",-4.3,37.35
"272","Pinus halepensis",-4.3,37.35
"273","Pinus halepensis",-4.3,37.35
"274","Pinus halepensis",-4.19,37.54
"275","Pinus halepensis",-4.19,37.36
"276","Pinus halepensis",23.341667,37.594444
"277","Pinus halepensis",17.016666,43.316666
"278","Pinus halepensis",-1.5237,37.8464
"279","Pinus halepensis",8.4258,39.4233
"280","Pinus halepensis",-6.8764,31.4314
"281","Pinus halepensis",4.1106,40.0164
"282","Pinus halepensis",-3.4016,38.3146
"283","Pinus halepensis",14.516667,36.9
"284","Pinus halepensis",-4.2026,39.021
"285","Pinus halepensis",2.964,39.3606
"286","Pinus halepensis",-3.8048,43.4562
"287","Pinus halepensis",-3.3181,40.108
"288","Pinus halepensis",-3.2946,40.0991
"289","Pinus halepensis",-3.3414,40.0809
"290","Pinus halepensis",-0.1165,38.579
"291","Pinus halepensis",-0.7725,42.2037
"292","Pinus halepensis",8.6803,35.2047
"293","Pinus halepensis",3.159472,42.389333
"294","Pinus halepensis",-0.3207,39.3451
"295","Pinus halepensis",-4.0872,41.7392
"296","Pinus halepensis",-1.5119,39.5313
"297","Pinus halepensis",-4.0696,39.3917
"298","Pinus halepensis",-2.515,42.4404
"299","Pinus halepensis",-2.2181,38.8083
"300","Pinus halepensis",24.90833,35.16944
"301","Pinus halepensis",8.4258,39.4233
"302","Pinus halepensis",-0.03,38.85
"303","Pinus halepensis",-4.51,41.95
"304","Pinus halepensis",-1.635,42.323
"305","Pinus halepensis",-2.121,37.67
"306","Pinus halepensis",-4.7489,41.7759
"307","Pinus halepensis",-4.175,41.866
"308","Pinus halepensis",-4.39,41.86
"309","Pinus halepensis",-4.51,41.95
"310","Pinus halepensis",-4.39,41.86
"311","Pinus halepensis",-4.61694,36.60917
"312","Pinus halepensis",14.51667,36.91667
"313","Pinus halepensis",23.03333,36.7
"314","Pinus halepensis",11.23167,43.88222
"315","Pinus halepensis",10.08722,36.36472
"316","Pinus halepensis",8.67917,36.67778
"317","Pinus halepensis",10.34194,36.70278
"318","Pinus halepensis",3.11861,42.42139
"319","Pinus halepensis",-1.36448,39.5194
"320","Pinus halepensis",1.74,41.41
"321","Pinus halepensis",2.1,41.41
"322","Pinus halepensis",24.16556,41.15556
"323","Pinus halepensis",23.53056,40.84028
"324","Pinus halepensis",22.61056,40.41472
"325","Pinus halepensis",23.58472,40.2425
"326","Pinus halepensis",23.37306,38.955
"327","Pinus halepensis",23.35972,40.12167
"328","Pinus halepensis",23.20306,38.83111
"329","Pinus halepensis",8.194969,44.076613
"330","Pinus halepensis",-2.4,34.81667
"331","Pinus halepensis",8.42583,39.42334
"332","Pinus halepensis",-1.929349,42.461263
"333","Pinus halepensis",-1.953332,42.641417
"334","Pinus halepensis",3.8772,43.6119
"335","Pinus halepensis",-3.783333,34.791389
"336","Pinus halepensis",11.145667,42.411119
"337","Pinus halepensis",10.174198,43.992685
"338","Pinus halepensis",10.402393,42.771935
"339","Pinus halepensis",10.280124,42.786107
"340","Pinus halepensis",8.202496,40.682215
"341","Pinus halepensis",2.420278,39.575556
"342","Pinus halepensis",-2.887778,37.890278
"343","Pinus halepensis",1.98359,41.7311
"344","Pinus halepensis",2.820556,39.783889
"345","Pinus halepensis",8.4258,39.4233
"346","Pinus halepensis",8.4258,39.4233
"347","Pinus halepensis",9.656137,44.146296
"348","Pinus halepensis",9.642951,44.148144
"349","Pinus halepensis",2.84,39.82
"350","Pinus halepensis",-6.5,38.4
"351","Pinus halepensis",-6.5,38.5
"352","Pinus halepensis",-3.16,40.63
"353","Pinus halepensis",23.078543,37.597204
"354","Pinus halepensis",-4.40833,36.73211
"355","Pinus halepensis",-4.867,36.829
"356","Pinus halepensis",-4.3842,36.77
"357","Pinus halepensis",1.4929064,38.9505861
"358","Pinus halepensis",1.4929064,38.9505861
"359","Pinus halepensis",1.4929064,38.9505861
"360","Pinus halepensis",1.4929064,38.9505861
"361","Pinus halepensis",1.4929064,38.9505861
"362","Pinus halepensis",1.4929064,38.9505861
"363","Pinus halepensis",1.4929064,38.9505861
"364","Pinus halepensis",1.4929064,38.9505861
"365","Pinus halepensis",1.4929064,38.9505861
"366","Pinus halepensis",1.4929064,38.9505861
"367","Pinus halepensis",1.4929064,38.9505861
"368","Pinus halepensis",1.4929064,38.9505861
"369","Pinus halepensis",2.71361,39.76527
"370","Pinus halepensis",-5.681111,32.244444
"371","Pinus halepensis",-2.77,42.6
"372","Pinus halepensis",21.31722,39.8475
"373","Pinus halepensis",21.49583,40.63889
"374","Pinus halepensis",22.41806,38.44806
"375","Pinus halepensis",23.46917,38.18056
"376","Pinus halepensis",23.50722,38.72389
"377","Pinus halepensis",23.51556,38.30028
"378","Pinus halepensis",23.89861,38.47611
"379","Pinus halepensis",23.29917,38.15472
"380","Pinus halepensis",22.38139,38.05472
"381","Pinus halepensis",21.86722,37.70944
"382","Pinus halepensis",21.90444,38.02472
"383","Pinus halepensis",-0.368,38.508
"384","Pinus halepensis",-2.81667,36.83333
"385","Pinus halepensis",-2.397,42.573002
"386","Pinus halepensis",-2.156,43.255001
"387","Pinus halepensis",-1.532,42.547001
"388","Pinus halepensis",-4.762597,36.62745
"389","Pinus halepensis",-1.14,42.63
"390","Pinus halepensis",-1.14,42.63
"391","Pinus halepensis",-1.33,42.05
"392","Pinus halepensis",-1.11,42.66
"393","Pinus halepensis",-1.47,42.43
"394","Pinus halepensis",-2.15,43.25
"395","Pinus halepensis",-2.66,42.52
"396","Pinus halepensis",-1.81,41.91
"397","Pinus halepensis",-2.39,42.58
"398","Pinus halepensis",-2.83,42.63
"399","Pinus halepensis",-2.6,42.58
"400","Pinus halepensis",-2.83,42.61
"401","Pinus halepensis",-2.39,42.57
"402","Pinus halepensis",-2.4,42.56
"403","Pinus halepensis",-1.92,42.47
"404","Pinus halepensis",-2.68,42.83
"405","Pinus halepensis",-2.68,42.85
"406","Pinus halepensis",-0.12,38.58
"407","Pinus halepensis",8.43,39.42
"408","Pinus halepensis",12.53,32.07
"409","Pinus halepensis",23.78,40.12
"410","Pinus halepensis",23.73,38.08
"411","Pinus halepensis",23.73,38.08
"412","Pinus halepensis",-4.9,36.68
"413","Pinus halepensis",5.33,43.37
